会社名,電話番号,住所,企業URL,業種
ヨコスカ海風食堂合同会社（横須賀支店 広告課）,046-555-1024,神奈川県横須賀市本町2-1,https://example.com/is01-distribute/food-ads-024,飲食
カワサキ屋台企画株式会社（川崎支店 マーケ課）,044-555-1025,神奈川県川崎市幸区大宮町131-1,https://example.com/is01-distribute/food-ads-025,飲食
ツクバ食研究所合同会社（つくば支店 広報課）,029-555-1026,茨城県つくば市研究学園1-1,https://example.com/is01-distribute/food-ads-026,飲食
ウツノミヤ餃子本舗株式会社（宇都宮支店 宣伝課）,028-555-1027,栃木県宇都宮市大通り1-1-1,https://example.com/is01-distribute/food-ads-027,飲食
マエバシ食材株式会社（前橋支店 広告課）,027-555-1028,群馬県前橋市大手町1-1-1,https://example.com/is01-distribute/food-ads-028,飲食
ナガノ山の食堂株式会社（長野支店 広報課）,026-555-1029,長野県長野市南千歳1-1-1,https://example.com/is01-distribute/food-ads-029,飲食
マツモト食文化合同会社（松本支店 宣伝課）,0263-55-1030,長野県松本市中央1-1-1,https://example.com/is01-distribute/food-ads-030,飲食
トヤマ和食企画株式会社（富山支店 広告課）,076-555-1031,富山県富山市桜町1-1-1,https://example.com/is01-distribute/food-ads-031,飲食
フクイ海鮮食堂株式会社（福井支店 広報課）,0776-55-1032,福井県福井市中央1-1-1,https://example.com/is01-distribute/food-ads-032,飲食
ギフ味彩堂株式会社（岐阜支店 宣伝課）,058-555-1033,岐阜県岐阜市橋本町1-1-1,https://example.com/is01-distribute/food-ads-033,飲食
ミエ食彩株式会社（四日市支店 広告課）,059-555-1034,三重県四日市市安島1-1-1,https://example.com/is01-distribute/food-ads-034,飲食
シガ近江食堂合同会社（大津支店 広報課）,077-555-1035,滋賀県大津市浜大津1-1-1,https://example.com/is01-distribute/food-ads-035,飲食
ナラ大和ごはん株式会社（奈良支店 宣伝課）,0742-55-1036,奈良県奈良市三条本町1-1,https://example.com/is01-distribute/food-ads-036,飲食
ワカヤマ梅めし株式会社（和歌山支店 広告課）,073-555-1037,和歌山県和歌山市美園町1-1-1,https://example.com/is01-distribute/food-ads-037,飲食
トットリ砂丘食堂合同会社（鳥取支店 広報課）,0857-55-1038,鳥取県鳥取市今町2-1,https://example.com/is01-distribute/food-ads-038,飲食
シマネ海の幸株式会社（松江支店 宣伝課）,0852-55-1039,島根県松江市朝日町1-1,https://example.com/is01-distribute/food-ads-039,飲食
ヤマグチ食材流通株式会社（山口支店 広告課）,083-555-1040,山口県山口市小郡下郷1-1,https://example.com/is01-distribute/food-ads-040,飲食
トクシマ阿波食堂合同会社（徳島支店 広報課）,088-555-1041,徳島県徳島市寺島本町西1-1,https://example.com/is01-distribute/food-ads-041,飲食
コウチ土佐めし株式会社（高知支店 宣伝課）,088-555-1042,高知県高知市はりまや町1-1-1,https://example.com/is01-distribute/food-ads-042,飲食
サガ有明食堂合同会社（佐賀支店 広告課）,0952-55-1043,佐賀県佐賀市駅前中央1-1,https://example.com/is01-distribute/food-ads-043,飲食
ナガサキ港町ごはん株式会社（長崎支店 広報課）,095-555-1044,長崎県長崎市大黒町1-1,https://example.com/is01-distribute/food-ads-044,飲食
オオイタ温泉食堂株式会社（大分支店 宣伝課）,097-555-1045,大分県大分市府内町1-1-1,https://example.com/is01-distribute/food-ads-045,飲食
ミヤザキ南国食堂合同会社（宮崎支店 広告課）,0985-55-1046,宮崎県宮崎市橘通西1-1-1,https://example.com/is01-distribute/food-ads-046,飲食
ヤマナシ葡萄ごはん株式会社（甲府支店 広報課）,055-555-1047,山梨県甲府市丸の内1-1-1,https://example.com/is01-distribute/food-ads-047,飲食
トチギ食堂プロモ株式会社（宇都宮支店 広告課）,028-555-1048,栃木県宇都宮市馬場通り1-1-1,https://example.com/is01-distribute/food-ads-048,飲食
サイタマ食堂プロモ合同会社（浦和支店 広報課）,048-555-1049,埼玉県さいたま市浦和区高砂1-1-1,https://example.com/is01-distribute/food-ads-049,飲食
トーキョー食広告株式会社（品川支店 宣伝課）,03-5555-1050,東京都品川区大崎1-1-1,https://example.com/is01-distribute/food-ads-050,飲食
