会社名,電話番号,住所,企業URL,業種
テスト株式会社017（第二支店 営業課）,03-7000-3017,東京都目黒区上目黒1-1-1,https://example.com/is01-distribute/test3-017,小売
テスト株式会社018（第三支店 管理課）,03-7000-3018,東京都世田谷区三軒茶屋2-2-2,https://example.com/is01-distribute/test3-018,医療
テスト株式会社019（第四支店 企画課）,03-7000-3019,東京都台東区上野1-1-1,https://example.com/is01-distribute/test3-019,不動産
テスト株式会社020（第五支店 広報課）,03-7000-3020,東京都江東区豊洲1-1-1,https://example.com/is01-distribute/test3-020,飲食
テスト株式会社021（第一支店 総務課）,025-700-3021,新潟県新潟市中央区花園1-1-1,https://example.com/is01-distribute/test3-021,ITサービス
テスト株式会社022（第二支店 営業課）,076-700-3022,石川県金沢市本町2-2-2,https://example.com/is01-distribute/test3-022,コンサル
テスト株式会社023（第三支店 管理課）,075-700-3023,京都府京都市下京区東塩小路町1-1,https://example.com/is01-distribute/test3-023,卸売業
テスト株式会社024（第四支店 企画課）,087-700-3024,香川県高松市浜ノ町1-1,https://example.com/is01-distribute/test3-024,物流
テスト株式会社025（第五支店 広報課）,098-700-3025,沖縄県那覇市久茂地1-1-1,https://example.com/is01-distribute/test3-025,製造業
テスト株式会社026（第一支店 総務課）,03-7000-3026,東京都文京区本郷2-2-2,https://example.com/is01-distribute/test3-026,建設
テスト株式会社027（第二支店 営業課）,03-7000-3027,東京都豊島区南池袋2-2-2,https://example.com/is01-distribute/test3-027,小売
テスト株式会社028（第三支店 管理課）,03-7000-3028,東京都北区赤羽2-2-2,https://example.com/is01-distribute/test3-028,医療
テスト株式会社029（第四支店 企画課）,03-7000-3029,東京都板橋区板橋2-2-2,https://example.com/is01-distribute/test3-029,不動産
テスト株式会社030（第五支店 広報課）,03-7000-3030,東京都練馬区練馬2-2-2,https://example.com/is01-distribute/test3-030,飲食
テスト株式会社031（第一支店 総務課）,053-700-3031,静岡県浜松市中央区砂山町1-1,https://example.com/is01-distribute/test3-031,ITサービス
テスト株式会社032（第二支店 営業課）,026-700-3032,長野県長野市末広町1-1,https://example.com/is01-distribute/test3-032,コンサル
テスト株式会社033（第三支店 管理課）,058-700-3033,岐阜県岐阜市橋本町2-2-2,https://example.com/is01-distribute/test3-033,卸売業
テスト株式会社034（第四支店 企画課）,059-700-3034,三重県四日市市安島2-2-2,https://example.com/is01-distribute/test3-034,物流
テスト株式会社035（第五支店 広報課）,0742-700-3035,奈良県奈良市三条本町2-2,https://example.com/is01-distribute/test3-035,製造業
テスト株式会社036（第一支店 総務課）,03-7000-3036,東京都中野区中野2-2-2,https://example.com/is01-distribute/test3-036,建設
テスト株式会社037（第二支店 営業課）,03-7000-3037,東京都杉並区高円寺北1-1-1,https://example.com/is01-distribute/test3-037,小売
テスト株式会社038（第三支店 管理課）,03-7000-3038,東京都荒川区西日暮里1-1-1,https://example.com/is01-distribute/test3-038,医療
テスト株式会社039（第四支店 企画課）,03-7000-3039,東京都足立区千住2-2-2,https://example.com/is01-distribute/test3-039,不動産
テスト株式会社040（第五支店 広報課）,03-7000-3040,東京都葛飾区亀有2-2-2,https://example.com/is01-distribute/test3-040,飲食
テスト株式会社041（第一支店 総務課）,03-7000-3041,東京都江戸川区葛西2-2-2,https://example.com/is01-distribute/test3-041,ITサービス
テスト株式会社042（第二支店 営業課）,095-700-3042,長崎県長崎市大黒町2-2,https://example.com/is01-distribute/test3-042,コンサル
テスト株式会社043（第三支店 管理課）,096-700-3043,熊本県熊本市中央区手取本町2-2,https://example.com/is01-distribute/test3-043,卸売業
テスト株式会社044（第四支店 企画課）,097-700-3044,大分県大分市府内町2-2-2,https://example.com/is01-distribute/test3-044,物流
テスト株式会社045（第五支店 広報課）,0985-700-3045,宮崎県宮崎市橘通西2-2-2,https://example.com/is01-distribute/test3-045,製造業
テスト株式会社046（第一支店 総務課）,083-700-3046,山口県山口市小郡下郷2-2,https://example.com/is01-distribute/test3-046,建設
テスト株式会社047（第二支店 営業課）,0852-700-3047,島根県松江市朝日町2-2,https://example.com/is01-distribute/test3-047,小売
テスト株式会社048（第三支店 管理課）,0857-700-3048,鳥取県鳥取市今町1-1,https://example.com/is01-distribute/test3-048,医療
テスト株式会社049（第四支店 企画課）,073-700-3049,和歌山県和歌山市美園町2-2-2,https://example.com/is01-distribute/test3-049,不動産
テスト株式会社050（第五支店 広報課）,088-700-3050,徳島県徳島市寺島本町西2-2,https://example.com/is01-distribute/test3-050,飲食
